Period,NationalTV1,NationalTV2,Magazine1,Magazine2,PaidSearch1,PaidSearch2,Display1,Display2,Facebook1,Facebook2,Wechat1,Wechat2,CCI,Sales Event,Comp Media Spend,Sales,DisplayAlwaysOnImpression,DisplayBrandingImpression,DisplayWebsiteImpression,DisplayHolidayImpression,SearchBrandingclicks,SearchAlwasyOnclicks,SearchWebsiteclicks,FacebookBrandingImpressions,FacebookHolidayImpressions,FacebookOtherImpressions
5/25/2015,41.72420106,9.706830096,5.429218377,12.80444024,407072.4179,8086.404377,1283090.94,44932116,384001.8469,14182773,437.4222654,924.9981793,90.7,0,30278,223331,20365975,24566141,0,0,138437,156562,114812,6503622,0,3055470
6/1/2015,41.17269529,12.00130472,5.460252835,12.80559276,355627.1418,8447.895971,1167640.901,37200521,0,9559092,430.9402646,850.2998179,96.1,0,20262,227658,20902954,2913184,13384383,0,70180,178174,101557,0,0,0
6/8/2015,41.06239414,11.9178073,5.048236679,10.95793809,364347.1142,7684.108056,1129596.8,36438803,0,0,791.1493052,842.8299818,96.1,0,20262,225582,15691888,2576273,18170642,0,114812,110507,139997,0,0,0
6/15/2015,34.28644517,11.90110781,4.924631832,10.77317262,437082.3114,7817.136256,1124317.944,36557277,320600.275,0,584.7116691,1769.082998,96.1,0,20262,222355,16528657,16572679,3455941,0,135356,230474,79334,7628776,0,0
6/22/2015,20.30489699,10.54293837,4.887550378,10.75469608,372975.9311,8876.521299,1261097.091,43697798,0,7628776,570.9233433,1140.8083,96.1,0,20262,225081,22112680,7359230,14225888,0,60560,217414,87879,0,0,0
6/29/2015,27.18239118,7.358193422,4.876425941,10.75284842,376435.5931,7943.628925,1182397.159,38180793,770111.4506,0,457.6404802,1147.28083,93.1,0,20262,212266,11860779,0,26320014,0,95030,214934,66856,22813503,0,0
7/6/2015,28.55789002,9.005880608,5.558835852,13.81385697,304509.7593,7997.741987,1182190.676,38979450,626954.5639,22813503,462.7626561,872.528083,93.1,1,20412,376145,20793494,5822319,12363637,0,39049,177769,79700,17641889,0,0
7/13/2015,32.76131152,9.335418045,5.763558825,14.11995782,357969.9759,6890.62909,1032149.808,31411030,276110.9382,17641889,515.4487797,913.4528083,93.1,1,20412,252346,15072365,16338665,0,0,133956,222740,7214,6329283,0,0
7/20/2015,40.80631866,10.23220003,5.824975717,14.1505679,363225.9976,7718.787365,1211886.177,42081525,1010740.131,6329283,656.9991149,1046.245281,93.1,1,20412,256458,25950201,16131324,0,0,164693,199117,0,32047886,0,0
7/27/2015,41.46527015,11.83768688,5.843400785,14.15362891,355906.2998,7800.250933,1235670.085,41446146,1136189.849,32047886,879.9352623,1393.424528,91.9,1,20412,272601,20679110,18194008,2573028,0,142915,212178,0,37094851,0,0
8/3/2015,43.49424112,11.97689412,5.718187783,13.54890954,293185.03,7690.087779,1265629.622,42764802,1174123.189,37094851,770.1202886,1940.242453,91.9,1,20380,273482,20577941,16103010,6083851,0,105491,180725,0,38649340,0,0
8/10/2015,40.57208084,12.36629049,5.680623882,13.4884376,393673.603,6710.948544,1299671.868,44242065,725597.8362,38649340,635.3202954,1587.224245,91.9,1,20380,277213,20801234,10560731,12880100,0,177438,227401,0,21177270,0,0
8/17/2015,40.94227125,11.80538718,5.669354712,13.4823904,369567.4603,8245.353823,1218039.227,39619028,563642.9184,21177270,587.0910566,1261.222425,91.9,1,20380,265987,26005372,9907430,3706226,0,261581,105308,0,15443832,0,0
8/24/2015,41.96785677,11.87862379,5.665973961,13.48178569,364815.046,7894.49272,1304248.672,44988130,282228.0255,15443832,424.3062202,1174.622242,91.9,0,20380,234512,23927914,5340663,15719553,0,155102,209185,0,6505043,0,0
8/31/2015,40.74450646,12.07631078,5.664959736,13.48172521,352470.6046,7824.270747,1162872.518,36741713,792102.1568,6505043,441.5053502,786.1622242,87.2,0,20380,226099,20503840,8767854,7470019,0,115700,235399,0,23630695,0,0
9/7/2015,39.54363455,11.84040385,5.394110071,12.2613318,319103.4605,7637.991622,1175197.26,38820392,686940.9833,23630695,469.3481296,868.8162224,87.2,0,35225,225283,16372250,8563242,13884900,0,82023,169372,64001,19776493,0,0
9/14/2015,41.21273332,11.60657504,5.312855171,12.13929246,325759.446,7123.575407,1255822.354,42884885,773862.7393,19776493.2,579.7603041,937.3816222,87.2,0,35225,227697,17362064,0,25522821,0,50314,146314,129871,22952496,0,0
9/21/2015,45.79940308,11.93067175,5.288478702,12.12708852,315763.6446,7228.03846,1192359.954,38746931,1044060.181,22952496,641.9317928,1207.938162,87.2,0,35225,226737,22692427,7443991,8610513,0,82984,138328,93341,33373897,0,0
9/28/2015,47.18587337,12.79706335,5.281165761,12.12586813,347934.4645,7072.088869,1173392.518,38424293,912006.2751,33373896.6,591.2554677,1337.593816,90,0,35225,233519,14806047,0,23618246,0,74638,214562,62309,28183653,0,0
10/5/2015,46.05379214,13.05685997,1.584349728,1.212586813,355706.4464,7568.376419,1103170.647,35042484,754737.464,28183653,489.4856536,1189.459382,90,0,35320,231252,23987639,0,11054845,0,128921,187742,39907,22245639,0,0
10/12/2015,47.70524529,12.84780883,0.475304918,0.121258681,359450.9446,7687.007355,1158583.967,38579983,812048.297,22245639,475.6765119,945.1459382,90,0,35320,222784,17511042,10739552,10329389,0,160896,127600,71371,24376836,0,0
10/19/2015,46.15766652,13.15305457,0.142591476,0.012125868,339273.8945,7743.66402,1251488.443,42831786,803887.2788,24376835.4,476.1823619,936.9145938,90,0,35320,223026,15126985,17659951,10044850,0,97279,141616,98137,24070989,0,0
10/26/2015,30.3613254,12.86704775,0.042777443,0.001212587,367686.9894,7436.484173,1289081.879,43832292,612854.4023,24070989.6,476.283532,944.1914594,91.3,0,35320,222534,22929250,14045291,6857751,0,67254,230033,73557,17147335,0,0
